case_id,user_id,image_id,image_label,selected_option,satisfaction,confidence,understanding,mean_helpfulness,age_range,education_level,occupation_raw,ai_knowledge_level,domain_knowledge_level,preferred_response_length,preferred_technical_level,preferred_format,perceived_error_impact,preferred_explanation_types_raw,main_goals_raw,case_local_id,timestamp,occupation_list,ai_knowledge_raw,ai_knowledge_desc,domain_knowledge_raw,domain_knowledge_desc,preferred_explanation_types_list,main_goals_list,free_comment,original_image_path,domain,model_predicted_class,model_confidence,initial_description,vqa_support_description,option_A_type,option_B_type,option_C_type,option_D_type,option_E_type,option_F_type
C0001,U001,1,img_01,Opción B,4,5,4,4.333333333333333,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",1,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0002,U001,2,img_02,Opción A,4,5,4,4.333333333333333,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",2,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0003,U001,3,img_03,Opción E,4,3,4,3.6666666666666665,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",3,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0004,U001,4,img_04,Opción C,4,4,4,4.0,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",4,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0005,U001,5,img_05,Opción F (Ninguna),2,2,4,2.6666666666666665,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",5,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0006,U001,6,img_06,Opción D,4,3,4,3.6666666666666665,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",6,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0007,U001,7,img_07,Opción C,3,2,4,3.0,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",7,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0008,U001,8,img_08,Opción B,4,4,4,4.0,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",8,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0009,U001,9,img_09,Opción E,4,4,4,4.0,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",9,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
C0010,U001,10,img_10,Opción E,4,4,4,4.0,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",10,2026-03-24 12:11:51.041,"[""Estudiante"", ""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,"[""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]","Igual para gente más inexperta explicación breve de los diferentes tipos de detección, para saber como funciona y poder contestar mejor las preguntas.",,Animales salvajes,,,,,Anchor,Grad-CAM,IG,LIME,Saliency,
