image_id,image_label,original_image_path,domain,model_predicted_class,model_confidence,initial_description,vqa_support_description,option_A_type,option_B_type,option_C_type,option_D_type,option_E_type,option_F_type
1,img_01,/Users/haojie/Desktop/TFM/Imagenes/original/0031229b7741a1d7.jpg,Naturaleza / animales,Aguila,,Ave rapaz posada en guante junto a una persona,Original image used as the reference for comparing the XAI explanations.,Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
2,img_02,/Users/haojie/Desktop/TFM/Imagenes/original/00b5f68e0957cca9.jpg,Naturaleza / animales,Pato,,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
3,img_03,/Users/haojie/Desktop/TFM/Imagenes/original/005b457833b6cdf5.jpg,Naturaleza / animales,Serpiente,,"A vibrant green snake with black stripes curls its body, its mouth slightly open to reveal a pink interior, set against a blurred natural background.","The base image shows: A vibrant green snake with black stripes curls its body, its mouth slightly open to reveal a pink interior, set against a blurred natural background.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
4,img_04,/Users/haojie/Desktop/TFM/Imagenes/original/009b5378bedaff01.jpg,Naturaleza / animales,Araña,,"A spider is perched on a textured peach-colored wall near a wooden railing, with a small white electrical outlet visible at the bottom left corner of the image.","The base image shows: A spider is perched on a textured peach-colored wall near a wooden railing, with a small white electrical outlet visible at the bottom left corner of the image.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
5,img_05,/Users/haojie/Desktop/TFM/Imagenes/original/009d556a9aa06e1b.jpg,Naturaleza / animales,Mariposa,,"A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.","The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
6,img_06,/Users/haojie/Desktop/TFM/Imagenes/original/003f38058fbe4fb3.jpg,Naturaleza / animales,Tigre,,"A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.","The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
7,img_07,/Users/haojie/Desktop/TFM/Imagenes/original/00eb7860432c771a.jpg,Naturaleza / animales,Pajaro,,"A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.","The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
8,img_08,/Users/haojie/Desktop/TFM/Imagenes/original/00c43814d22064ba.jpg,Naturaleza / animales,Mariposa,,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
9,img_09,/Users/haojie/Desktop/TFM/Imagenes/original/00a1cc761cb8f01a.jpg,Naturaleza / animales,Aguila,,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
10,img_10,/Users/haojie/Desktop/TFM/Imagenes/original/0075679b808245e7.jpg,Naturaleza / animales,Elefante,,"A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.","The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
11,img_11,/Users/haojie/Desktop/TFM/Imagenes/original/001ef0f9885fa3d4.jpg,Naturaleza / animales,Tortuga,,"A turtle with a patterned shell rests on a weathered tree stump protruding from calm, murky water, surrounded by scattered green algae.","The base image shows: A turtle with a patterned shell rests on a weathered tree stump protruding from calm, murky water, surrounded by scattered green algae.. Original image used as the reference for comparing the XAI explanations.",Anchor,Grad-CAM,Integrated Gradients,LIME,Saliency,None
