case_id,resumen_xai
image01,"Case image01. Original image: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward..
- gradcam: The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a heatmap and an overlay, highlighting a warm, bright region around the bird's body and wings, suggesting that the model's attention is focused on these areas, likely indicating the bird's identification as a kite with a logit score of 6.43..
- lime: The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a superpixel mask and a LIME kite explanation, highlighting the bird's silhouette and key features in warm, bright, and marked regions, suggesting the model's focus on the bird's shape and edges for accurate detection..
- integrated_gradients: The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with its corresponding IG |abs| (gris) grayscale representation, IG heatmap, and an overlay with a kite (0.28) score, highlighting the bird's wings and body as the most influential features for model predictions, suggesting these areas are critical for accurate classification..
- saliency: The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a saliency map highlighting areas of high importance, and an overlay indicating the presence of a kite with a logit score of 6.43, suggesting the model's focus on the bird's wings and body as key features for identifying the kite..
- anchor: The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with its masked anchor representation, segmented superpixels, and an overlay indicating a kite detection with high precision but zero coverage, highlighting the model's focus on specific regions while missing the broader context.. Anchor metadata: predicted class 'kite', probability 0.276, precision 1.000, coverage 0.001, anchor superpixels [2, 6, 1, 4, 12, 9, 11, 13, 7, 10]."
image02,"Case image02. Original image: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background..
- gradcam: The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with a heatmap and an overlay, highlighting the duck's head and neck area in warm, bright colors, indicating a high likelihood of the model's focus on these features to classify the image as a ""drake"" with a logit score of 6.39..
- lime: The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck's head with a superpixel mask and a LIME drake explanation, highlighting key areas in yellow that suggest the model's focus on the duck's head shape, eye, and beak, indicating these features are crucial for the model's decision-making process..
- integrated_gradients: The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with its Integrated Gradients (IG) absolute value grayscale representation, a blue IG heatmap, and an overlay showing the IG heatmap integrated with the original image, highlighting areas of high importance, particularly around the duck's eye and beak, suggesting these features are crucial for model interpretation..
- saliency: The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck's head with a saliency map and an overlay, highlighting the duck's eye and beak as the most salient features, suggesting these areas are crucial for identifying the duck as a ""drake"" with a high confidence score of 6.39..
- anchor: The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with its masked anchor, superpixel segmentation, and an overlay indicating the model's prediction confidence, highlighting how the model focuses on the duck's head and beak, suggesting these features are critical for accurate classification.. Anchor metadata: predicted class 'drake', probability 0.363, precision 1.000, coverage 0.502, anchor superpixels [6]."
image03,"Case image03. Original image: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow..
- gradcam: The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake on a sandy surface with a heatmap and an overlay, highlighting the central area of the snake with warm, bright colors, indicating a high confidence score of 6.71 for the classification as a ""thunder snake,"" suggesting the model focuses on the snake's body for accurate identification..
- lime: The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with a superpixel mask and a LIME explanation, highlighting the snake's body and tail in yellow, indicating areas of high importance for the model's classification of the snake as a ""thunder snake"" with a confidence score of 0.40, suggesting the model focuses on the snake's shape and texture for identification..
- integrated_gradients: The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with its Integrated Gradients (IG) absolute value heatmap, showing a focus on the snake's body and head, particularly highlighting the textured scales and distinct patterns, which are then overlaid onto the original image to emphasize the model's attention to these features, suggesting their importance in identifying the snake as a ""thunder snake"" with a confidence score of 0.40..
- saliency: The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake on a sandy surface with its saliency map and an overlay indicating the presence of a ""thunder snake"" with a logit score of 6.71, highlighting the snake's body in warm, bright regions, suggesting the model's focus on the snake as the primary subject of interest..
- anchor: The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with its masked anchor, superpixel segmentation, and an overlay highlighting the snake with a precision of 1.00 and coverage of 0.51, indicating areas of focus and segmentation accuracy for the snake's detection and analysis.. Anchor metadata: predicted class 'thunder snake', probability 0.403, precision 1.000, coverage 0.511, anchor superpixels [2]."
image04,"Case image04. Original image: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner..
- gradcam: The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with a heatmap and an overlay, highlighting the spider's body and legs in warm, bright colors, indicating areas of high importance or confidence (logit=6.21), suggesting the model's focus on these features for accurate identification..
- lime: The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider on a leaf with a superpixel mask and a LIME explanation, highlighting the spider's body and legs in yellow, indicating their importance in the model's decision-making process, suggesting these features are key for identifying the spider..
- integrated_gradients: The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with its IG |abs| (gris) representation, IG heatmap, and an overlay, highlighting the spider's features with warm, bright regions that suggest areas of high importance or saliency, particularly around the spider's legs and body, indicating key visual elements contributing to its identification..
- saliency: The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider on a leaf with its saliency map and an overlay, highlighting the spider's features in bright blue regions, indicating areas of high importance for the model's classification decision, suggesting the spider's distinct characteristics are key to its identification..
- anchor: The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with its masked anchor, superpixel segmentation, and an overlay highlighting the spider with a precision of 1.00 and coverage of 0.01, indicating a focused and accurate segmentation process that isolates the spider from its background effectively.. Anchor metadata: predicted class 'wolf spider', probability 0.211, precision 1.000, coverage 0.005, anchor superpixels [8, 2, 4, 7, 6, 11, 10]."
image05,"Case image05. Original image: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers..
- gradcam: The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly with a heatmap and an overlay, highlighting the butterfly's presence with warm, bright regions, indicating a high confidence score (logit=4.80), suggesting the model accurately identifies the butterfly as the focal point of interest..
- lime: The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on leaves with a superpixel mask and a LIME bee explanation, highlighting the butterfly and its immediate surroundings in yellow, indicating the model's focus on these areas as key features for identifying the butterfly..
- integrated_gradients: The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly on leaves with its Integrated Gradients (IG) absolute value heatmap, showing concentrated blue highlights around the butterfly and leaf edges, and an overlay indicating a bee detection confidence of 0.08, suggesting the model's focus on the butterfly's features while also identifying a low-confidence bee presence..
- saliency: The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly on a plant with a saliency map highlighting areas of interest in blue, and an overlay indicating the presence of a bee with a logit score of 4.80, marked by bright green spots, suggesting the model's focus on specific regions related to the bee's detection..
- anchor: The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly with its masked version, superpixel segmentation, and an overlay highlighting the butterfly with precision of 1.00 and coverage of 0.07, indicating a focus on the butterfly's accurate identification and minimal surrounding area inclusion.. Anchor metadata: predicted class 'bee', probability 0.075, precision 1.000, coverage 0.066, anchor superpixels [1, 2, 5, 4]."
image06,"Case image06. Original image: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting..
- gradcam: The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with a heatmap and an overlay, highlighting the tiger's body with warm, bright colors, indicating areas of high importance or confidence in the model's classification, suggesting the tiger is the primary focus of the analysis..
- lime: The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with a superpixel mask and a LIME tiger explanation, highlighting the tiger's outline in yellow, indicating the model's focus on the tiger's shape and features, suggesting that these visual elements are crucial for the model's decision-making process..
- integrated_gradients: The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with its Integrated Gradients (IG) absolute value heatmap, showing a grayscale representation of feature importance, and an overlay highlighting the tiger's body with a score of 0.38, indicating areas of significant contribution to the model's prediction, primarily focusing on the tiger's form and texture..
- saliency: The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with its saliency map and an overlay, highlighting areas of high importance for tiger detection, indicated by warm, bright spots on the tiger's body, suggesting the model focuses on distinct features like stripes and facial patterns to identify the subject..
- anchor: The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with its masked anchor representation, segmented superpixels, and an overlay highlighting the tiger with a precision of 1.00 and coverage of 0.50, indicating areas of focus and segmentation accuracy for explainable AI analysis.. Anchor metadata: predicted class 'tiger', probability 0.382, precision 1.000, coverage 0.504, anchor superpixels [4]."
image07,"Case image07. Original image: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene..
- gradcam: The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of an American egret with a heatmap and an overlay, highlighting the bird's body and head in warm, bright colors, indicating areas of high importance or confidence in the model's classification, suggesting the model focuses on these regions to identify the bird..
- lime: The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an American egret with a superpixel mask and a LIME explanation, highlighting the bird's body and head in yellow, indicating areas of high importance for the model's classification decision, suggesting that these features are critical for identifying the egret..
- integrated_gradients: The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an American egret with its corresponding IG |abs| (gris) mask, IG heatmap, and an overlay, highlighting the bird's features with warm, bright regions that suggest the model's focus on the egret's head, neck, and body, indicating these areas as significant for identification..
- saliency: The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of an American egret with its saliency map and an overlay, highlighting the bird's features with warm, bright regions, indicating areas of high importance for the model's classification decision, suggesting the egret's distinct shape and coloration are key factors in its identification..
- anchor: The base image shows: A black-and-white bird with a slender neck and long legs stands in shallow water, its reflection mirrored on the calm surface, creating a serene and symmetrical scene.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an American egret with its masked anchor, superpixel segmentation, and an overlay highlighting the bird's presence with warm, bright regions, indicating high precision (0.97) and moderate coverage (0.26), suggesting effective segmentation and detection of the bird in the scene.. Anchor metadata: predicted class 'American egret', probability 0.127, precision 0.975, coverage 0.257, anchor superpixels [8, 6]."
image08,"Case image08. Original image: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background..
- gradcam: The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on a plant with a heatmap and an overlay, highlighting the butterfly's features in warm, bright colors, indicating the model's focus on the butterfly's pattern and shape, suggesting the butterfly is the primary subject of interest with a high confidence score of 6.40..
- lime: The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on grass with a superpixel mask and a LIME (Local Interpretable Model-agnostic Explanations) heatmap, highlighting the butterfly's outline in yellow, indicating its significant contribution to the model's classification as a ""LIME admiral"" with a score of 0.31, suggesting the butterfly's features are crucial for the model's decision..
- integrated_gradients: The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on a leaf with its corresponding IG |abs| (gris) grayscale representation, IG heatmap, and an overlay highlighting the butterfly as an ""admiral"" with a confidence score of 0.31, indicating the model's focus on the butterfly's features as key for its classification..
- saliency: The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on grass with a saliency map highlighting areas of high importance in blue, and an overlay indicating the butterfly as an ""admiral"" with a logit score of 6.40, suggesting the model's focus on the butterfly's distinct features for accurate classification..
- anchor: The base image shows: A butterfly with black wings adorned with orange and white spots rests on a white wooden structure, surrounded by tall green leaves and a blurred green background.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on a leaf with its masked anchor representation, superpixel segmentation, and an overlay highlighting the butterfly with a precision of 1.00 and coverage of 0.52, indicating the model's focus on the butterfly while also capturing surrounding areas.. Anchor metadata: predicted class 'admiral', probability 0.314, precision 1.000, coverage 0.518, anchor superpixels [5]."
image09,"Case image09. Original image: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event.
- gradcam: The base image shows: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a man holding a bird with a heatmap and an overlay, highlighting the bird as the primary focus with warm, bright regions, suggesting the model's attention is concentrated on the bird, as indicated by the logit value of 3.37..
- lime: The base image shows: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a man holding a bird with a superpixel mask and a LIME chain mail explanation, highlighting the bird and the man's arm as key features, suggesting these elements are significant in the model's decision-making process..
- integrated_gradients: The base image shows: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a person holding a bird with a red shirt and a glove, alongside an IG |abs| (gris) grayscale image highlighting areas of importance, an IG heatmap emphasizing the bird and glove with bright blue regions, and an overlay chain mail visualization with a 0.02 threshold, indicating the bird and glove as key features contributing to the model's decision-making process..
- saliency: The base image shows: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a man holding a bird with a saliency map highlighting areas of interest in blue, and an overlay indicating the presence of ""chain mail"" with a logit score of 3.37, marked by green regions on the bird, suggesting the model's focus on the bird's texture as a key feature for its classification..
- anchor: The base image shows: A man in a red shirt holds a gloved arm with a large bird of prey perched on it, surrounded by people at an outdoor event. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image with an anchor-based masked version, superpixel segmentation, and an overlay chain mail explanation, highlighting the bird and the person's arm as key features, suggesting these elements are crucial for the model's decision-making process.. Anchor metadata: predicted class 'chain mail', probability 0.018, precision 1.000, coverage 0.061, anchor superpixels [2, 0, 3, 1]."
image10,"Case image10. Original image: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment..
- gradcam: The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of an elephant with a heatmap and an overlay, highlighting the elephant's body with warm, bright regions, indicating a high confidence score of 7.04 for the ""tusker"" classification, suggesting the model focuses on the elephant's features to make its prediction..
- lime: The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an elephant with a superpixel mask and a LIME tusker explanation, highlighting the elephant's body and tusks in yellow, indicating their importance in the model's decision-making process, suggesting these features are key for identifying the elephant..
- integrated_gradients: The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an elephant with its Integrated Gradients (IG) absolute value heatmap, showing a grayscale IG |abs| representation, and an overlay highlighting the ""tusker"" feature with a score of 0.40, where the bright blue regions indicate areas of high importance contributing to the model's prediction of the elephant's tusks..
- saliency: The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of an elephant with a saliency map and an overlay, highlighting areas of interest with warm, bright spots, particularly around the elephant's tusks and body, suggesting these features are significant for the model's classification of the image as a ""tusker"" with a logit score of 7.04..
- anchor: The base image shows: A young elephant stands amidst tall grass, its large ears spread wide, and its trunk hanging down, showcasing its textured gray skin and small tusks in a natural, grassy environment.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of an elephant with its masked anchor, superpixel segmentation, and an overlay highlighting the ""tusker"" feature with a precision of 0.98 and coverage of 0.13, indicating the model's focus on the elephant's tusks and head as key discriminative areas.. Anchor metadata: predicted class 'tusker', probability 0.400, precision 0.984, coverage 0.127, anchor superpixels [8, 9, 3]."
