case_id,method,folder,image_path,file_name,caption_original,caption_xai,descripcion
image01,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image01_anchor.png,image01_anchor.png,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","This XAI visualization compares an original image of a bird in flight with its masked anchor representation, segmented superpixels, and an overlay indicating a kite detection with high precision but zero coverage, highlighting the model's focus on specific regions while missing the broader context.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with its masked anchor representation, segmented superpixels, and an overlay indicating a kite detection with high precision but zero coverage, highlighting the model's focus on specific regions while missing the broader context.. Anchor metadata: predicted class 'kite', probability 0.276, precision 1.000, coverage 0.001, anchor superpixels [2, 6, 1, 4, 12, 9, 11, 13, 7, 10]."
image01,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image01_gradcam.png,image01_gradcam.png,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","This XAI visualization compares an original image of a bird in flight with a heatmap and an overlay, highlighting a warm, bright region around the bird's body and wings, suggesting that the model's attention is focused on these areas, likely indicating the bird's identification as a kite with a logit score of 6.43.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a heatmap and an overlay, highlighting a warm, bright region around the bird's body and wings, suggesting that the model's attention is focused on these areas, likely indicating the bird's identification as a kite with a logit score of 6.43.."
image01,integrated_gradients,output_ig,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_ig/image01_ig.png,image01_ig.png,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","This XAI visualization compares an original image of a bird in flight with its corresponding IG |abs| (gris) grayscale representation, IG heatmap, and an overlay with a kite (0.28) score, highlighting the bird's wings and body as the most influential features for model predictions, suggesting these areas are critical for accurate classification.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with its corresponding IG |abs| (gris) grayscale representation, IG heatmap, and an overlay with a kite (0.28) score, highlighting the bird's wings and body as the most influential features for model predictions, suggesting these areas are critical for accurate classification.."
image01,lime,output_lime,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_lime/image01_lime.png,image01_lime.png,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","This XAI visualization compares an original image of a bird in flight with a superpixel mask and a LIME kite explanation, highlighting the bird's silhouette and key features in warm, bright, and marked regions, suggesting the model's focus on the bird's shape and edges for accurate detection.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a superpixel mask and a LIME kite explanation, highlighting the bird's silhouette and key features in warm, bright, and marked regions, suggesting the model's focus on the bird's shape and edges for accurate detection.."
image01,original,original,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/original/image01.jpg,image01.jpg,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.",,"The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Original image used as the reference for comparing the XAI explanations."
image01,saliency,output_saliency,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_saliency/image01_saliency.png,image01_saliency.png,"A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.","This XAI visualization compares an original image of a bird in flight with a saliency map highlighting areas of high importance, and an overlay indicating the presence of a kite with a logit score of 6.43, suggesting the model's focus on the bird's wings and body as key features for identifying the kite.","The base image shows: A bird of prey, with dark brown and white plumage, soars gracefully through a clear blue sky, its wings fully extended and tail feathers fanned out as it glides forward.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a bird in flight with a saliency map highlighting areas of high importance, and an overlay indicating the presence of a kite with a logit score of 6.43, suggesting the model's focus on the bird's wings and body as key features for identifying the kite.."
image02,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image02_anchor.png,image02_anchor.png,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","This XAI visualization compares an original image of a duck with its masked anchor, superpixel segmentation, and an overlay indicating the model's prediction confidence, highlighting how the model focuses on the duck's head and beak, suggesting these features are critical for accurate classification.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with its masked anchor, superpixel segmentation, and an overlay indicating the model's prediction confidence, highlighting how the model focuses on the duck's head and beak, suggesting these features are critical for accurate classification.. Anchor metadata: predicted class 'drake', probability 0.363, precision 1.000, coverage 0.502, anchor superpixels [6]."
image02,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image02_gradcam.png,image02_gradcam.png,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","This XAI visualization compares an original image of a duck with a heatmap and an overlay, highlighting the duck's head and neck area in warm, bright colors, indicating a high likelihood of the model's focus on these features to classify the image as a ""drake"" with a logit score of 6.39.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with a heatmap and an overlay, highlighting the duck's head and neck area in warm, bright colors, indicating a high likelihood of the model's focus on these features to classify the image as a ""drake"" with a logit score of 6.39.."
image02,integrated_gradients,output_ig,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_ig/image02_ig.png,image02_ig.png,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","This XAI visualization compares an original image of a duck with its Integrated Gradients (IG) absolute value grayscale representation, a blue IG heatmap, and an overlay showing the IG heatmap integrated with the original image, highlighting areas of high importance, particularly around the duck's eye and beak, suggesting these features are crucial for model interpretation.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck with its Integrated Gradients (IG) absolute value grayscale representation, a blue IG heatmap, and an overlay showing the IG heatmap integrated with the original image, highlighting areas of high importance, particularly around the duck's eye and beak, suggesting these features are crucial for model interpretation.."
image02,lime,output_lime,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_lime/image02_lime.png,image02_lime.png,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","This XAI visualization compares an original image of a duck's head with a superpixel mask and a LIME drake explanation, highlighting key areas in yellow that suggest the model's focus on the duck's head shape, eye, and beak, indicating these features are crucial for the model's decision-making process.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck's head with a superpixel mask and a LIME drake explanation, highlighting key areas in yellow that suggest the model's focus on the duck's head shape, eye, and beak, indicating these features are crucial for the model's decision-making process.."
image02,original,original,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/original/image02.jpg,image02.jpg,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.",,"The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Original image used as the reference for comparing the XAI explanations."
image02,saliency,output_saliency,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_saliency/image02_saliency.png,image02_saliency.png,"A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.","This XAI visualization compares an original image of a duck's head with a saliency map and an overlay, highlighting the duck's eye and beak as the most salient features, suggesting these areas are crucial for identifying the duck as a ""drake"" with a high confidence score of 6.39.","The base image shows: A close-up profile of a duck showcases its vibrant green head, contrasting black and brown feathers, and a bright yellow beak, set against a plain white background.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a duck's head with a saliency map and an overlay, highlighting the duck's eye and beak as the most salient features, suggesting these areas are crucial for identifying the duck as a ""drake"" with a high confidence score of 6.39.."
