response_id,participant_id,age_range,education_level,occupation_category,ai_knowledge_level,domain_knowledge_level,image_id,image_label,domain,model_predicted_class,selected_option,selected_method,satisfaction,confidence,understanding,mean_helpfulness,preferred_response_length,preferred_technical_level,preferred_format,preferred_explanation_types,main_goals,perceived_error_impact
R0001,P023,18–24,Grado,Estudiante,3,2,5,img_05,Naturaleza / animales,Mariposa,Opción F (Ninguna),Ninguna,1,1,1,1.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0002,P006,18–24,Bachillerato/FP,Estudiante,4,3,5,img_05,Naturaleza / animales,Mariposa,Opción D,LIME,2,3,3,2.6666666666666665,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0003,P003,18–24,Grado,Estudiante,4,4,7,img_07,Naturaleza / animales,Pajaro,Opción C,Integrated Gradients,4,4,4,4.0,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema",Medio: el error podría causar cierta confusión o problema
R0004,P018,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,1,img_01,Naturaleza / animales,Aguila,Opción A,Anchor,2,3,2,2.3333333333333335,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0005,P010,25–34,Doctorado,Investigador/a (académico),5,3,1,img_01,Naturaleza / animales,Aguila,Opción B,Grad-CAM,3,3,3,3.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0006,P004,25–34,Master,Profesional del sector tecnológico / IA / datos,3,4,4,img_04,Naturaleza / animales,Araña,Opción C,Integrated Gradients,5,5,5,5.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Explicaciones visuales (zonas destacadas en la imagen),"Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema
R0007,P014,18–24,Grado,"Estudiante, Otro / texto libre anonimizado",5,2,9,img_09,Naturaleza / animales,Aguila,Opción F (Ninguna),Ninguna,1,1,1,1.0,Corta: solo lo esencial,Técnico: explicación más especializada y precisa,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes
R0008,P025,18–24,Grado,"Estudiante, Investigador/a (académico)",5,3,8,img_08,Naturaleza / animales,Mariposa,Opción C,Integrated Gradients,4,4,5,4.333333333333333,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0009,P011,18–24,Grado,Profesional de otro sector,4,2,1,img_01,Naturaleza / animales,Aguila,Opción A,Anchor,3,2,3,2.6666666666666665,Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,Texto detallado + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen), No tengo preferencia / me da igual","Transparencia: entender por qué el sistema tomó esa decisión, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0010,P004,25–34,Master,Profesional del sector tecnológico / IA / datos,3,4,7,img_07,Naturaleza / animales,Pajaro,Opción E,Saliency,4,4,4,4.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Explicaciones visuales (zonas destacadas en la imagen),"Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema
