query_case_id,query_user_id,query_image_id,rank,case_id,user_id,image_id,similarity,sim_text,sim_profile,sim_image,selected_option,preferred_response_length,preferred_technical_level,preferred_format,perceived_error_impact,preferred_explanation_types_raw,main_goals_raw
C0001,U001,1,1,C0279,U026,4,0.5109829291491692,0.17167246998324662,0.9999999999999998,0.2115697057793529,Opción E,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Alto: el error podría tener consecuencias importantes,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0001,U001,1,2,C0290,U027,4,0.5109829291491692,0.17167246998324662,0.9999999999999998,0.2115697057793529,Opción B,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema"
C0001,U001,1,3,C0158,U015,4,0.5085383291128398,0.17167246998324662,0.9938884999091763,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0001,U001,1,4,C0037,U004,4,0.5029946690146281,0.17167246998324662,0.9800293496636469,0.2115697057793529,Opción D,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Medio: el error podría causar cierta confusión o problema,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti"
C0001,U001,1,5,C0147,U014,4,0.5023210265289437,0.17167246998324662,0.978345243449436,0.2115697057793529,Opción A,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0001,U001,1,6,C0257,U024,4,0.5023210265289437,0.17167246998324662,0.978345243449436,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0001,U001,1,7,C0103,U010,4,0.4998430266886179,0.17167246998324662,0.9721502438486215,0.2115697057793529,Opción C,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,Medio: el error podría causar cierta confusión o problema,No tengo preferencia / me da igual,"Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema"
C0001,U001,1,8,C0180,U017,4,0.49788092473090195,0.17167246998324662,0.9672449889543315,0.2115697057793529,Opción D,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Alto: el error podría tener consecuencias importantes,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema"
C0001,U001,1,9,C0081,U008,4,0.4963772049926236,0.17167246998324662,0.9634856896086357,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti"
C0001,U001,1,10,C0059,U006,4,0.49365912390871813,0.17167246998324662,0.9566904868988721,0.2115697057793529,Opción B,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema"
C0001,U001,1,11,C0125,U012,4,0.49365912390871813,0.17167246998324662,0.9566904868988721,0.2115697057793529,Opción A,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,1,C0158,U015,4,0.4988796290468209,0.17167246998324662,0.9697417497441292,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,2,C0037,U004,4,0.4985451182038958,0.17167246998324662,0.9689054726368161,0.2115697057793529,Opción D,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Medio: el error podría causar cierta confusión o problema,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti"
C0012,U002,1,3,C0224,U021,4,0.4985451182038958,0.17167246998324662,0.9689054726368161,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0012,U002,1,4,C0026,U003,4,0.49777852911790754,0.17167246998324662,0.9669889999218457,0.2115697057793529,Opción E,Corta: solo lo esencial,Técnico: explicación más especializada y precisa,Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema"
C0012,U002,1,5,C0114,U011,4,0.49777852911790754,0.17167246998324662,0.9669889999218457,0.2115697057793529,Opción B,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,6,C0279,U026,4,0.49261511665353197,0.17167246998324662,0.9540804687609066,0.2115697057793529,Opción E,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Alto: el error podría tener consecuencias importantes,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,7,C0004,U001,4,0.49261511665353197,0.17167246998324662,0.9540804687609066,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,8,C0257,U024,4,0.49261511665353197,0.17167246998324662,0.9540804687609066,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0012,U002,1,9,C0147,U014,4,0.49261511665353197,0.17167246998324662,0.9540804687609066,0.2115697057793529,Opción A,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0012,U002,1,10,C0290,U027,4,0.49261511665353197,0.17167246998324662,0.9540804687609066,0.2115697057793529,Opción B,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema"
C0012,U002,1,11,C0081,U008,4,0.49257734000421494,0.17167246998324662,0.953986027137614,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti"
C0023,U003,1,1,C0114,U011,4,0.5015163353024552,0.17167246998324662,0.9763335153832149,0.2115697057793529,Opción B,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0023,U003,1,2,C0037,U004,4,0.49777852911790754,0.17167246998324662,0.9669889999218457,0.2115697057793529,Opción D,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,Medio: el error podría causar cierta confusión o problema,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti"
C0023,U003,1,3,C0015,U002,4,0.49777852911790754,0.17167246998324662,0.9669889999218457,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,Texto detallado + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen), No tengo preferencia / me da igual","Transparencia: entender por qué el sistema tomó esa decisión, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0023,U003,1,4,C0224,U021,4,0.49777852911790754,0.17167246998324662,0.9669889999218457,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0023,U003,1,5,C0158,U015,4,0.49539151499067946,0.17167246998324662,0.9610214646037755,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,Alto: el error podría tener consecuencias importantes,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0023,U003,1,6,C0070,U007,4,0.4871884427386446,0.17167246998324662,0.9405137839736883,0.2115697057793529,Opción C,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,Bajo: el error apenas tendría consecuencias,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0023,U003,1,7,C0246,U023,4,0.48692755199319115,0.17167246998324662,0.9398615571100546,0.2115697057793529,Opción B,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
C0023,U003,1,8,C0081,U008,4,0.48588595502047904,0.17167246998324662,0.9372575646782743,0.2115697057793529,Opción E,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti"
C0023,U003,1,9,C0257,U024,4,0.48454946526249376,0.17167246998324662,0.9339163402833113,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema"
C0023,U003,1,10,C0004,U001,4,0.48454946526249376,0.17167246998324662,0.9339163402833113,0.2115697057793529,Opción C,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Medio: el error podría causar cierta confusión o problema,"Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa"
